1996/4/26,Star Wars (1977),The Shawshank Redemption (1994),Pulp Fiction (1994),Wallace & Gromit in The Wrong Trousers (1993),The Usual Suspects (1995),Toy Story (1995),Schindler's List (1993),Casablanca (1942),Blade Runner (1982),Citizen Kane (1941),
1996/5/26,Star Wars (1977),The Shawshank Redemption (1994),Pulp Fiction (1994),Wallace & Gromit in The Wrong Trousers (1993),The Usual Suspects (1995),Toy Story (1995),Schindler's List (1993),Casablanca (1942),Blade Runner (1982),Citizen Kane (1941),
1996/6/26,Star Wars (1977),The Shawshank Redemption (1994),Pulp Fiction (1994),Wallace & Gromit in The Wrong Trousers (1993),The Usual Suspects (1995),Toy Story (1995),Schindler's List (1993),Casablanca (1942),Blade Runner (1982),Citizen Kane (1941),
1996/7/26,Star Wars (1977),The Shawshank Redemption (1994),Pulp Fiction (1994),Wallace & Gromit in The Wrong Trousers (1993),The Usual Suspects (1995),Toy Story (1995),Schindler's List (1993),Casablanca (1942),Blade Runner (1982),Citizen Kane (1941),
1996/8/26,Star Wars (1977),The Shawshank Redemption (1994),Pulp Fiction (1994),Wallace & Gromit in The Wrong Trousers (1993),The Usual Suspects (1995),Toy Story (1995),Schindler's List (1993),Casablanca (1942),Blade Runner (1982),Citizen Kane (1941),
1996/9/26,Star Wars (1977),The Shawshank Redemption (1994),Pulp Fiction (1994),Wallace & Gromit in The Wrong Trousers (1993),The Usual Suspects (1995),Toy Story (1995),Schindler's List (1993),Casablanca (1942),Blade Runner (1982),Citizen Kane (1941),
1996/10/26,Star Wars (1977),The Shawshank Redemption (1994),Pulp Fiction (1994),Wallace & Gromit in The Wrong Trousers (1993),The Usual Suspects (1995),Toy Story (1995),Schindler's List (1993),Casablanca (1942),Blade Runner (1982),Citizen Kane (1941),
1996/11/19,Star Wars (1977),Trainspotting (1996),The Shawshank Redemption (1994),Wallace & Gromit in The Wrong Trousers (1993),The Usual Suspects (1995),Casablanca (1942),A Close Shave (1995),Blade Runner (1982),Pulp Fiction (1994),Schindler's List (1993),
1996/12/19,Star Wars (1977),The Shawshank Redemption (1994),Trainspotting (1996),The Usual Suspects (1995),Wallace & Gromit in The Wrong Trousers (1993),A Close Shave (1995),Star Trek: First Contact (1996),Casablanca (1942),Blade Runner (1982),Schindler's List (1993),
1997/1/22,Star Wars (1977),Trainspotting (1996),The Shawshank Redemption (1994),Wallace & Gromit in The Wrong Trousers (1993),The English Patient (1996),Star Trek: First Contact (1996),The Usual Suspects (1995),A Close Shave (1995),Casablanca (1942),Beautiful Thing (1996),
1997/2/22,Star Wars (1977),Trainspotting (1996),The Shawshank Redemption (1994),Wallace & Gromit in The Wrong Trousers (1993),The English Patient (1996),Star Trek: First Contact (1996),The Usual Suspects (1995),A Close Shave (1995),Casablanca (1942),Beautiful Thing (1996),
1997/3/22,Star Wars (1977),Trainspotting (1996),The Shawshank Redemption (1994),Wallace & Gromit in The Wrong Trousers (1993),The English Patient (1996),Star Trek: First Contact (1996),The Usual Suspects (1995),A Close Shave (1995),Casablanca (1942),Beautiful Thing (1996),
1997/4/2,Star Wars (1977),Shine (1996),The Shawshank Redemption (1994),Trainspotting (1996),The English Patient (1996),Wallace & Gromit in The Wrong Trousers (1993),A Close Shave (1995),The Usual Suspects (1995),Casablanca (1942),Star Trek: First Contact (1996),
1997/5/2,Star Wars (1977),Shine (1996),The Shawshank Redemption (1994),Trainspotting (1996),The English Patient (1996),Wallace & Gromit in The Wrong Trousers (1993),A Close Shave (1995),The Usual Suspects (1995),Casablanca (1942),Star Trek: First Contact (1996),
1997/6/2,Star Wars (1977),Shine (1996),The Shawshank Redemption (1994),Trainspotting (1996),The English Patient (1996),Wallace & Gromit in The Wrong Trousers (1993),A Close Shave (1995),The Usual Suspects (1995),Casablanca (1942),Star Trek: First Contact (1996),
1997/7/2,Star Wars (1977),Shine (1996),The Shawshank Redemption (1994),Trainspotting (1996),The English Patient (1996),Wallace & Gromit in The Wrong Trousers (1993),A Close Shave (1995),The Usual Suspects (1995),Casablanca (1942),Star Trek: First Contact (1996),
