1996/4/26,Star Wars (1977),The Shawshank Redemption (1994),Pulp Fiction (1994),Wallace & Gromit in The Wrong Trousers (1993),The Usual Suspects (1995),Toy Story (1995),Schindler's List (1993),Casablanca (1942),Blade Runner (1982),Citizen Kane (1941),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Babe (1995),Sense and Sensibility (1995),Braveheart (1995),One Flew Over the Cuckoo's Nest (1975),A Close Shave (1995),The Godfather (1972),Se7en (1995),Il Postino (1994),Raiders of the Lost Ark (1981),
1996/5/26,Star Wars (1977),The Shawshank Redemption (1994),Pulp Fiction (1994),Wallace & Gromit in The Wrong Trousers (1993),The Usual Suspects (1995),Toy Story (1995),Schindler's List (1993),Casablanca (1942),Blade Runner (1982),Citizen Kane (1941),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Babe (1995),Sense and Sensibility (1995),Braveheart (1995),One Flew Over the Cuckoo's Nest (1975),A Close Shave (1995),The Godfather (1972),Se7en (1995),Il Postino (1994),Raiders of the Lost Ark (1981),
1996/6/26,Star Wars (1977),The Shawshank Redemption (1994),Pulp Fiction (1994),Wallace & Gromit in The Wrong Trousers (1993),The Usual Suspects (1995),Toy Story (1995),Schindler's List (1993),Casablanca (1942),Blade Runner (1982),Citizen Kane (1941),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Babe (1995),Sense and Sensibility (1995),Braveheart (1995),One Flew Over the Cuckoo's Nest (1975),A Close Shave (1995),The Godfather (1972),Se7en (1995),Il Postino (1994),Raiders of the Lost Ark (1981),
1996/7/26,Star Wars (1977),The Shawshank Redemption (1994),Pulp Fiction (1994),Wallace & Gromit in The Wrong Trousers (1993),The Usual Suspects (1995),Toy Story (1995),Schindler's List (1993),Casablanca (1942),Blade Runner (1982),Citizen Kane (1941),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Babe (1995),Sense and Sensibility (1995),Braveheart (1995),One Flew Over the Cuckoo's Nest (1975),A Close Shave (1995),The Godfather (1972),Se7en (1995),Il Postino (1994),Raiders of the Lost Ark (1981),
1996/8/26,Star Wars (1977),The Shawshank Redemption (1994),Pulp Fiction (1994),Wallace & Gromit in The Wrong Trousers (1993),The Usual Suspects (1995),Toy Story (1995),Schindler's List (1993),Casablanca (1942),Blade Runner (1982),Citizen Kane (1941),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Babe (1995),Sense and Sensibility (1995),Braveheart (1995),One Flew Over the Cuckoo's Nest (1975),A Close Shave (1995),The Godfather (1972),Se7en (1995),Il Postino (1994),Raiders of the Lost Ark (1981),
1996/9/26,Star Wars (1977),The Shawshank Redemption (1994),Pulp Fiction (1994),Wallace & Gromit in The Wrong Trousers (1993),The Usual Suspects (1995),Toy Story (1995),Schindler's List (1993),Casablanca (1942),Blade Runner (1982),Citizen Kane (1941),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Babe (1995),Sense and Sensibility (1995),Braveheart (1995),One Flew Over the Cuckoo's Nest (1975),A Close Shave (1995),The Godfather (1972),Se7en (1995),Il Postino (1994),Raiders of the Lost Ark (1981),
1996/10/26,Star Wars (1977),The Shawshank Redemption (1994),Pulp Fiction (1994),Wallace & Gromit in The Wrong Trousers (1993),The Usual Suspects (1995),Toy Story (1995),Schindler's List (1993),Casablanca (1942),Blade Runner (1982),Citizen Kane (1941),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Babe (1995),Sense and Sensibility (1995),Braveheart (1995),One Flew Over the Cuckoo's Nest (1975),A Close Shave (1995),The Godfather (1972),Se7en (1995),Il Postino (1994),Raiders of the Lost Ark (1981),
1996/11/19,Star Wars (1977),Trainspotting (1996),The Shawshank Redemption (1994),Wallace & Gromit in The Wrong Trousers (1993),The Usual Suspects (1995),Casablanca (1942),A Close Shave (1995),Blade Runner (1982),Pulp Fiction (1994),Schindler's List (1993),Citizen Kane (1941),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Braveheart (1995),The Godfather (1972),Lone Star (1996),Toy Story (1995),One Flew Over the Cuckoo's Nest (1975),Il Postino (1994),Sense and Sensibility (1995),Up in Smoke (1978),
1996/12/19,Star Wars (1977),The Shawshank Redemption (1994),Trainspotting (1996),The Usual Suspects (1995),Wallace & Gromit in The Wrong Trousers (1993),A Close Shave (1995),Star Trek: First Contact (1996),Casablanca (1942),Blade Runner (1982),Schindler's List (1993),Citizen Kane (1941),Pulp Fiction (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),The Godfather (1972),The English Patient (1996),Braveheart (1995),Beautiful Thing (1996),Lone Star (1996),Toy Story (1995),One Flew Over the Cuckoo's Nest (1975),
1997/1/22,Star Wars (1977),Trainspotting (1996),The Shawshank Redemption (1994),Wallace & Gromit in The Wrong Trousers (1993),The English Patient (1996),Star Trek: First Contact (1996),The Usual Suspects (1995),A Close Shave (1995),Casablanca (1942),Beautiful Thing (1996),Blade Runner (1982),Citizen Kane (1941),Schindler's List (1993),The Godfather (1972),Pulp Fiction (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Braveheart (1995),Lone Star (1996),Shine (1996),Toy Story (1995),
